Jun 26 03:00:17 rx10025878 syslogd: restart
Jun 26 03:00:20 rx10025878 syslogd: restart
Jun 26 03:00:23 rx10025878 syslogd: restart
Jun 26 03:00:25 rx10025878 syslogd: restart
Jun 26 03:00:28 rx10025878 syslogd: restart
Jun 26 03:00:30 rx10025878 syslogd: restart
Jun 26 03:00:33 rx10025878 syslogd: restart
Jun 26 03:00:36 rx10025878 syslogd: restart
Jun 26 03:00:36 nto CI: INFO	logrotate.sh	/mnt/sd/statuslog.csv.0002 has 10000000 bytes => log rotation 
Jun 26 05:06:24 nto CI: INFO	iumanager	iumanager: GpioWriter::setCiPowerSupplies(): ON
Jun 26 05:06:26 nto PU3: INFO	BootFsm	********** Hello from Solarmax RX! ********** 
Jun 26 05:06:26 nto PU3: DEBUG	BootFsm	Reset cause is power on reset 
Jun 26 05:06:26 nto PU3: INFO	BootFsm	Basic system successfully built, duration: 85.62ms 
Jun 26 05:06:26 nto PU1: INFO	BootFsm	********** Hello from Solarmax RX! ********** 
Jun 26 05:06:26 nto PU1: DEBUG	BootFsm	Reset cause is power on reset 
Jun 26 05:06:26 nto PU3: INFO	BootFsm	Communication system successfully built, duration: 0.23ms 
Jun 26 05:06:26 nto PU1: INFO	BootFsm	Basic system successfully built, duration: 85.62ms 
Jun 26 05:06:26 nto PU1: INFO	BootFsm	Communication system successfully built, duration: 0.23ms 
Jun 26 05:06:26 nto PU2: INFO	BootFsm	********** Hello from Solarmax RX! ********** 
Jun 26 05:06:26 nto PU2: DEBUG	BootFsm	Reset cause is power on reset 
Jun 26 05:06:26 nto PU1: DEBUG	BootFsm	PU_CONTROL_SLAVE_STATE_POWER_OK, wait for PU_CONTROL_SLAVE_COMMAND_PREPARE_FOR_CONFIG... 
Jun 26 05:06:26 nto PU3: DEBUG	BootFsm	PU_CONTROL_SLAVE_STATE_POWER_OK, wait for PU_CONTROL_SLAVE_COMMAND_PREPARE_FOR_CONFIG... 
Jun 26 05:06:26 nto PU2: INFO	BootFsm	Basic system successfully built, duration: 85.62ms 
Jun 26 05:06:26 nto PU4: INFO	BootFsm	********** Hello from Solarmax RX! ********** 
Jun 26 05:06:26 nto PU4: DEBUG	BootFsm	Reset cause is power on reset 
Jun 26 05:06:26 nto PU2: INFO	BootFsm	Communication system successfully built, duration: 0.23ms 
Jun 26 05:06:26 nto PU4: INFO	BootFsm	Basic system successfully built, duration: 85.62ms 
Jun 26 05:06:26 nto PU2: DEBUG	BootFsm	PU_CONTROL_SLAVE_STATE_POWER_OK, wait for PU_CONTROL_SLAVE_COMMAND_PREPARE_FOR_CONFIG... 
Jun 26 05:06:26 nto PU4: INFO	BootFsm	Communication system successfully built, duration: 0.23ms 
Jun 26 05:06:26 nto PU4: DEBUG	BootFsm	PU_CONTROL_SLAVE_STATE_POWER_OK, wait for PU_CONTROL_SLAVE_COMMAND_PREPARE_FOR_CONFIG... 
Jun 26 05:06:26 nto CI: INFO	pumanager1	pumanager: PU control master FSM enabled, start slave state polling...
Jun 26 05:06:26 nto CI: INFO	pumanager2	pumanager: PU control master FSM enabled, start slave state polling...
Jun 26 05:06:26 nto CI: INFO	pumanager3	pumanager: PU control master FSM enabled, start slave state polling...
Jun 26 05:06:26 nto CI: INFO	pumanager4	pumanager: PU control master FSM enabled, start slave state polling...
Jun 26 05:06:26 nto CI: INFO	statistics	statistics: PU1 enabled => activate statistic generator...
Jun 26 05:06:26 nto CI: INFO	iumanager	iumanager: VXTBUS change from 11.800000 to 15.300000
Jun 26 05:06:26 nto CI: INFO	pumanager1	pumanager: Startup slave (configured boot timeout = 120s)...
Jun 26 05:06:26 nto CI: INFO	pumanager2	pumanager: Startup slave (configured boot timeout = 120s)...
Jun 26 05:06:26 nto CI: INFO	pumanager1	pumanager: FSM State: READ_AND_VALIDATE_SYSTEM_INFORMATION
Jun 26 05:06:26 nto CI: INFO	pumanager3	pumanager: Startup slave (configured boot timeout = 120s)...
Jun 26 05:06:26 nto CI: INFO	pumanager2	pumanager: FSM State: READ_AND_VALIDATE_SYSTEM_INFORMATION
Jun 26 05:06:26 nto CI: INFO	iumanager	iumanager:   INVERTER STATUS 20017   INVERTER SUBCODE 0   RunLevel 1   StatusCodePriority 107
Jun 26 05:06:26 nto CI: INFO	pumanager4	pumanager: Startup slave (configured boot timeout = 120s)...
Jun 26 05:06:26 nto CI: INFO	iumanager	iumanager: VIN change from 12.000000 to 12.100000
Jun 26 05:06:26 nto CI: INFO	pumanager3	pumanager: FSM State: READ_AND_VALIDATE_SYSTEM_INFORMATION
Jun 26 05:06:26 nto CI: INFO	statistics	statistics: PU2 enabled => activate statistic generator...
Jun 26 05:06:26 nto CI: INFO	pumanager4	pumanager: FSM State: READ_AND_VALIDATE_SYSTEM_INFORMATION
Jun 26 05:06:26 nto CI: INFO	pumanager1	pumanager: System Information successful received, validate...
Jun 26 05:06:26 nto CI: INFO	statistics	statistics: PU4 enabled => activate statistic generator...
Jun 26 05:06:26 nto CI: INFO	pumanager2	pumanager: System Information successful received, validate...
Jun 26 05:06:26 nto CI: INFO	pumanager1	pumanager: System Information is valid
Jun 26 05:06:26 nto CI: INFO	statistics	statistics: PU3 enabled => activate statistic generator...
Jun 26 05:06:26 nto CI: INFO	pumanager2	pumanager: System Information is valid
Jun 26 05:06:26 nto CI: INFO	pumanager1	pumanager: FSM State: PREPARE_FOR_CONFIGURATION
Jun 26 05:06:26 nto CI: INFO	pumanager3	pumanager: System Information successful received, validate...
Jun 26 05:06:26 nto CI: INFO	pumanager2	pumanager: FSM State: PREPARE_FOR_CONFIGURATION
Jun 26 05:06:26 nto CI: INFO	pumanager4	pumanager: System Information successful received, validate...
Jun 26 05:06:26 nto CI: INFO	pumanager3	pumanager: System Information is valid
Jun 26 05:06:26 nto CI: INFO	pumanager4	pumanager: System Information is valid
Jun 26 05:06:26 nto CI: INFO	pumanager3	pumanager: FSM State: PREPARE_FOR_CONFIGURATION
Jun 26 05:06:26 nto CI: INFO	pumanager4	pumanager: FSM State: PREPARE_FOR_CONFIGURATION
Jun 26 05:06:26 nto PU1: DEBUG	BootFsm	PU_CONTROL_SLAVE_STATE_READY_FOR_CONFIG 
Jun 26 05:06:26 nto PU1: INFO	BootFsm	Synchronizing data pool... 
Jun 26 05:06:27 nto PU2: DEBUG	BootFsm	PU_CONTROL_SLAVE_STATE_READY_FOR_CONFIG 
Jun 26 05:06:27 nto PU2: INFO	BootFsm	Synchronizing data pool... 
Jun 26 05:06:27 nto PU4: DEBUG	BootFsm	PU_CONTROL_SLAVE_STATE_READY_FOR_CONFIG 
Jun 26 05:06:27 nto PU3: DEBUG	BootFsm	PU_CONTROL_SLAVE_STATE_READY_FOR_CONFIG 
Jun 26 05:06:27 nto PU4: INFO	BootFsm	Synchronizing data pool... 
Jun 26 05:06:27 nto PU3: INFO	BootFsm	Synchronizing data pool... 
Jun 26 05:06:27 nto CI: INFO	pumanager1	pumanager: FSM State: SYNCHRONIZE_CONFIGURATION
Jun 26 05:06:27 nto CI: INFO	pumanager2	pumanager: FSM State: SYNCHRONIZE_CONFIGURATION
Jun 26 05:06:27 nto CI: INFO	pumanager3	pumanager: FSM State: SYNCHRONIZE_CONFIGURATION
Jun 26 05:06:27 nto CI: INFO	pumanager4	pumanager: FSM State: SYNCHRONIZE_CONFIGURATION
Jun 26 05:06:28 nto CI: INFO	statistics	statistics: write: 20 statistics jobs in 727 ms - 36 ms/job
Jun 26 05:06:28 nto CI: INFO	iumanager	iumanager: WAKEUP_XT_TQM1 input change from TRUE to FALSE
Jun 26 05:06:29 nto CI: INFO	iumanager	iumanager: WAKEUP_XT_TQM2 input change from TRUE to FALSE
Jun 26 05:06:30 nto CI: INFO	iumanager	iumanager: WAKEUP_XT_TQM1 input change from FALSE to TRUE
Jun 26 05:06:30 nto CI: INFO	iumanager	iumanager: WAKEUP_XT_TQM2 input change from FALSE to TRUE
Jun 26 05:06:31 nto CI: INFO	pumanager4	pumanager: FSM State: WAIT_SLAVE_READY_FOR_OPERATION
Jun 26 05:06:31 nto CI: INFO	pumanager1	pumanager: FSM State: WAIT_SLAVE_READY_FOR_OPERATION
Jun 26 05:06:31 nto CI: INFO	pumanager3	pumanager: FSM State: WAIT_SLAVE_READY_FOR_OPERATION
Jun 26 05:06:31 nto CI: INFO	pumanager2	pumanager: FSM State: WAIT_SLAVE_READY_FOR_OPERATION
Jun 26 05:06:31 nto PU4: INFO	BootFsm	Synchronization finished, duration: 4246ms 
Jun 26 05:06:31 nto PU4: INFO	BootFsm	Creating dependent modules... 
Jun 26 05:06:31 nto PU4: DEBUG	BootFsm	Generate components configuration objects... 
Jun 26 05:06:31 nto PU4: DEBUG	BootFsm	Reconfigure StatusGenerator with synchronized parameters... 
Jun 26 05:06:31 nto PU4: DEBUG	BootFsm	Reconfigure debug log levels with synchronized parameters... 
Jun 26 05:06:31 nto PU4: DEBUG	Mppt	tracking mode = normal 
Jun 26 05:06:31 nto PU4: INFO	BootFsm	Control system successfully built, duration: 330.47ms 
Jun 26 05:06:31 nto PU4: INFO	BootFsm	Safety system successfully built, duration: 5.83ms 
Jun 26 05:06:31 nto PU4: INFO	PuMaster	Main FSM State: pu disabled 
Jun 26 05:06:31 nto PU1: INFO	BootFsm	Synchronization finished, duration: 4289ms 
Jun 26 05:06:31 nto PU4: INFO	System	Heap bytes used (decimal): 105560 / 131072 (80.535889 %) 
Jun 26 05:06:31 nto PU4: INFO	System	********** Device configuration: ********** 
Jun 26 05:06:31 nto PU1: INFO	BootFsm	Creating dependent modules... 
Jun 26 05:06:31 nto PU4: INFO	System	Device type: 600RX multi-tracker 
Jun 26 05:06:31 nto PU1: DEBUG	BootFsm	Generate components configuration objects... 
Jun 26 05:06:31 nto PU4: INFO	System	Running in normal mode 
Jun 26 05:06:31 nto PU1: DEBUG	BootFsm	Reconfigure StatusGenerator with synchronized parameters... 
Jun 26 05:06:31 nto PU4: INFO	System	Firmware Release Information: 1.2.0.7224 
Jun 26 05:06:31 nto PU1: DEBUG	BootFsm	Reconfigure debug log levels with synchronized parameters... 
Jun 26 05:06:31 nto PU4: INFO	System	Firmware CRC: 0xFA5E94B4BBC77129 
Jun 26 05:06:31 nto PU1: DEBUG	Mppt	tracking mode = normal 
Jun 26 05:06:31 nto PU4: INFO	System	PU address: 4, master: FALSE 
Jun 26 05:06:31 nto PU1: INFO	BootFsm	Control system successfully built, duration: 330.60ms 
Jun 26 05:06:31 nto PU4: INFO	System	Nominal frequency: 50.0Hz 
Jun 26 05:06:31 nto PU1: INFO	BootFsm	Safety system successfully built, duration: 5.89ms 
Jun 26 05:06:31 nto PU4: INFO	System	Nominal grid voltage: 400.0V 
Jun 26 05:06:31 nto PU1: INFO	PuMaster	Main FSM State: pu disabled 
Jun 26 05:06:31 nto PU4: INFO	System	******** End device configuration: ******** 
Jun 26 05:06:31 nto PU4: INFO	BootFsm	General system successfully built, duration: 4.10ms 
Jun 26 05:06:31 nto PU4: INFO	Control	RC::Fsm state: FSM_STATE_REMOTE_CONTROL_OFF 
Jun 26 05:06:31 nto PU1: INFO	System	Heap bytes used (decimal): 105976 / 131072 (80.853271 %) 
Jun 26 05:06:31 nto PU4: DEBUG	SafetyM	SafetyManagerFSM: enterMainStateWaitForStartHWMonitoring 
Jun 26 05:06:31 nto PU1: INFO	System	********** Device configuration: ********** 
Jun 26 05:06:31 nto PU4: INFO	System	StatusGenerator: statuscode: 402 subcodeBit: none objectId: 0 
Jun 26 05:06:31 nto PU1: INFO	System	Device type: 600RX multi-tracker 
Jun 26 05:06:31 nto PU1: INFO	System	Running in normal mode 
Jun 26 05:06:31 nto PU1: INFO	System	Firmware Release Information: 1.2.0.7224 
Jun 26 05:06:31 nto PU1: INFO	System	Firmware CRC: 0xFA5E94B4BBC77129 
Jun 26 05:06:31 nto PU3: INFO	BootFsm	Synchronization finished, duration: 4355ms 
Jun 26 05:06:31 nto PU1: INFO	System	PU address: 1, master: TRUE 
Jun 26 05:06:31 nto PU1: INFO	System	Nominal frequency: 50.0Hz 
Jun 26 05:06:31 nto PU1: INFO	System	Nominal grid voltage: 400.0V 
Jun 26 05:06:31 nto PU3: INFO	BootFsm	Creating dependent modules... 
Jun 26 05:06:31 nto PU1: INFO	System	******** End device configuration: ******** 
Jun 26 05:06:31 nto PU3: DEBUG	BootFsm	Generate components configuration objects... 
Jun 26 05:06:31 nto PU1: INFO	BootFsm	General system successfully built, duration: 4.20ms 
Jun 26 05:06:31 nto PU3: DEBUG	BootFsm	Reconfigure StatusGenerator with synchronized parameters... 
Jun 26 05:06:31 nto PU3: DEBUG	BootFsm	Reconfigure debug log levels with synchronized parameters... 
Jun 26 05:06:31 nto PU3: DEBUG	Mppt	tracking mode = normal 
Jun 26 05:06:31 nto PU3: INFO	BootFsm	Control system successfully built, duration: 330.49ms 
Jun 26 05:06:31 nto PU3: INFO	BootFsm	Safety system successfully built, duration: 5.96ms 
Jun 26 05:06:31 nto PU3: INFO	PuMaster	Main FSM State: pu disabled 
Jun 26 05:06:31 nto PU3: INFO	System	Heap bytes used (decimal): 105560 / 131072 (80.535889 %) 
Jun 26 05:06:31 nto PU3: INFO	System	********** Device configuration: ********** 
Jun 26 05:06:31 nto PU3: INFO	System	Device type: 600RX multi-tracker 
Jun 26 05:06:31 nto PU3: INFO	System	Running in normal mode 
Jun 26 05:06:31 nto PU3: INFO	System	Firmware Release Information: 1.2.0.7224 
Jun 26 05:06:31 nto PU3: INFO	System	Firmware CRC: 0xFA5E94B4BBC77129 
Jun 26 05:06:31 nto PU3: INFO	System	PU address: 3, master: FALSE 
Jun 26 05:06:31 nto PU3: INFO	System	Nominal frequency: 50.0Hz 
Jun 26 05:06:31 nto PU3: INFO	System	Nominal grid voltage: 400.0V 
Jun 26 05:06:31 nto PU3: INFO	System	******** End device configuration: ******** 
Jun 26 05:06:31 nto PU3: INFO	BootFsm	General system successfully built, duration: 4.03ms 
Jun 26 05:06:31 nto PU3: INFO	Control	RC::Fsm state: FSM_STATE_REMOTE_CONTROL_OFF 
Jun 26 05:06:31 nto PU3: DEBUG	SafetyM	SafetyManagerFSM: enterMainStateWaitForStartHWMonitoring 
Jun 26 05:06:31 nto PU3: INFO	System	StatusGenerator: statuscode: 402 subcodeBit: none objectId: 0 
Jun 26 05:06:31 nto CI: INFO	pumanager1	pumanager: FSM State: WAIT_FOR_SLAVE_OPERATION
Jun 26 05:06:31 nto PU2: INFO	BootFsm	Synchronization finished, duration: 4447ms 
Jun 26 05:06:31 nto PU2: INFO	BootFsm	Creating dependent modules... 
Jun 26 05:06:31 nto PU2: DEBUG	BootFsm	Generate components configuration objects... 
Jun 26 05:06:32 nto CI: INFO	pumanager2	pumanager: FSM State: WAIT_FOR_SLAVE_OPERATION
Jun 26 05:06:32 nto PU2: DEBUG	BootFsm	Reconfigure StatusGenerator with synchronized parameters... 
Jun 26 05:06:32 nto PU2: DEBUG	BootFsm	Reconfigure debug log levels with synchronized parameters... 
Jun 26 05:06:32 nto PU2: DEBUG	Mppt	tracking mode = normal 
Jun 26 05:06:32 nto CI: INFO	pumanager3	pumanager: FSM State: WAIT_FOR_SLAVE_OPERATION
Jun 26 05:06:32 nto CI: INFO	pumanager4	pumanager: FSM State: WAIT_FOR_SLAVE_OPERATION
Jun 26 05:06:32 nto PU1: INFO	Control	RC::FoINFO	BootFsm	Booting finished, total duration: 4.713s 
Jun 26 05:06:32 nto PU2: INFO	BootFsm	Control system successfully built, duration: 330.64ms 
Jun 26 05:06:32 nto PU1: INFO	System	StatusGenerator: statuscode: 107 subcodeBit: none objectId: 0 
Jun 26 05:06:32 nto PU2: INFO	BootFsm	Safety system successfully built, duration: 5.89ms 
Jun 26 05:06:32 nto CI: INFO	iumanager	iumanager:   INVERTER STATUS 20181   INVERTER SUBCODE 0   RunLevel 4   StatusCodePriority 402
Jun 26 05:06:32 nto PU3: INFO	BootFsm	Booting finished, total duration: 4.779s 
Jun 26 05:06:32 nto PU2: INFO	PuMaster	Main FSM State: pu disabled 
Jun 26 05:06:32 nto PU4: INFO	BootFsm	Booting finished, total duration: 4.670s 
Jun 26 05:06:32 nto PU3: INFO	System	StatusGenerator: statuscode: 107 subcodeBit: none objectId: 0 
Jun 26 05:06:32 nto PU2: INFO	System	Heap bytes used (decimal): 105560 / 131072 (80.535889 %) 
Jun 26 05:06:32 nto PU4: INFO	System	StatusGenerator: statuscode: 107 subcodeBit: none objectId: 0 
Jun 26 05:06:32 nto PU2: INFO	System	********** Device configuration: ********** 
Jun 26 05:06:32 nto PU2: INFO	System	Device type: 600RX multi-tracker 
Jun 26 05:06:32 nto PU2: INFO	System	Running in normal mode 
Jun 26 05:06:32 nto PU2: INFO	System	Firmware Release Information: 1.2.0.7224 
Jun 26 05:06:32 nto PU2: INFO	System	Firmware CRC: 0xFA5E94B4BBC77129 
Jun 26 05:06:32 nto PU2: INFO	System	PU address: 2, master: FALSE 
Jun 26 05:06:32 nto PU4: INFO	System	CLog1 500 ms: 20017 Vdc: 436 Idc: 1 Pdc: 27 Pac: 64 IdLim: 0.00 Phi: 0.00 
Jun 26 05:06:32 nto PU2: INFO	System	Nominal frequency: 50.0Hz 
Jun 26 05:06:32 nto PU1: INFO	System	CLog1 500 ms: 20017 Vdc: 435 Idc: 1 Pdc: 49 Pac: 0 IdLim: 0.00 Phi: 0.00 
Jun 26 05:06:32 nto PU2: INFO	System	Nominal grid voltage: 400.0V 
Jun 26 05:06:32 nto PU2: INFO	System	******** End device configuration: ******** 
Jun 26 05:06:32 nto PU2: INFO	BootFsm	General system successfully built, duration: 4.04ms 
Jun 26 05:06:32 nto PU3: INFO	System	CLog1 500 ms: 20017 Vdc: 443 Idc: 0 Pdc: 11 Pac: 0 IdLim: 0.00 Phi: 0.00 
Jun 26 05:06:32 nto PU2: INFO	Control	RC::Fsm state: FSM_STATE_REMOTE_CONTROL_OFF 
Jun 26 05:06:32 nto PU2: DEBUG	SafetyM	SafetyManagerFSM: enterMainStateWaitForStartHWMonitoring 
Jun 26 05:06:32 nto PU2: INFO	System	StatusGenerator: statuscode: 402 subcodeBit: none objectId: 0 
Jun 26 05:06:32 nto PU2: INFO	BootFsm	Booting finished, total duration: 4.871s 
Jun 26 05:06:32 nto PU2: INFO	System	StatusGenerator: statuscode: 107 subcodeBit: none objectId: 0 
Jun 26 05:06:32 nto PU2: INFO	System	CLog1 500 ms: 20017 Vdc: 423 Idc: 0 Pdc: 22 Pac: 0 IdLim: 0.00 Phi: 0.00 
Jun 26 05:06:32 nto PU4: DEBUG	SafetyM	SafetyManagerFSM: enterMainStateWaitHWMonitoringOk 
Jun 26 05:06:32 nto PU1: DEBUG	SafetyM	SafetyManagerFSM: enterMainStateWaitHWMonitoringOk 
Jun 26 05:06:32 nto PU3: DEBUG	SafetyM	SafetyManagerFSM: enterMainStateWaitHWMonitoringOk 
Jun 26 05:06:33 nto CI: INFO	pumanager1	pumanager: FSM State: SLAVE_OPERATION
Jun 26 05:06:33 nto PU2: DEBUG	SafetyM	SafetyManagerFSM: enterMainStateWaitHWMonitoringOk 
Jun 26 05:06:33 nto CI: INFO	iumanager	iumanager:   INVERTER STATUS 20017   INVERTER SUBCODE 0   RunLevel 1   StatusCodePriority 107
Jun 26 05:06:33 nto CI: INFO	pumanager2	pumanager: FSM State: SLAVE_OPERATION
Jun 26 05:06:33 nto CI: INFO	pumanager3	pumanager: FSM State: SLAVE_OPERATION
Jun 26 05:06:33 nto CI: INFO	pumanager4	pumanager: FSM State: SLAVE_OPERATION
Jun 26 05:06:33 nto PU3: INFO	System	CLog1 500 ms: 20017 Vdc: 11 Idc: 0 Pdc: 12 Pac: 0 IdLim: 0.00 Phi: 0.00 
Jun 26 05:06:34 nto PU4: INFO	System	CLog1 500 ms: 20017 Vdc: 26 Idc: 0 Pdc: 26 Pac: 7 IdLim: 0.00 Phi: 0.00 
Jun 26 05:06:34 nto PU1: INFO	System	CLog1 500 ms: 20017 Vdc: 24 Idc: 1 Pdc: 50 Pac: 0 IdLim: 0.00 Phi: 0.00 
Jun 26 05:06:34 nto PU3: INFO	System	CLog1 500 ms: 20017 Vdc: 443 Idc: 0 Pdc: 12 Pac: 12 IdLim: 0.00 Phi: 0.00 
Jun 26 05:06:34 nto PU1: INFO	System	CLog1 500 ms: 20017 Vdc: 428 Idc: 1 Pdc: 51 Pac: 0 IdLim: 0.00 Phi: 0.00 
Jun 26 05:06:35 nto PU4: INFO	System	CLog1 500 ms: 20017 Vdc: 440 Idc: 1 Pdc: 27 Pac: 0 IdLim: 0.00 Phi: 0.00 
Jun 26 05:06:36 nto PU3: INFO	System	CLog1 500 ms: 20017 Vdc: 16 Idc: 0 Pdc: 13 Pac: 0 IdLim: 0.00 Phi: 0.00 
Jun 26 05:06:36 nto PU1: INFO	System	CLog1 500 ms: 20017 Vdc: 22 Idc: 1 Pdc: 52 Pac: 5 IdLim: 0.00 Phi: 0.00 
Jun 26 05:06:36 nto PU3: INFO	System	CLog1 500 ms: 20017 Vdc: 443 Idc: 0 Pdc: 12 Pac: 4 IdLim: 0.00 Phi: 0.00 
Jun 26 05:06:37 nto PU2: INFO	System	CLog1 500 ms: 20017 Vdc: 23 Idc: 0 Pdc: 23 Pac: 23 IdLim: 0.00 Phi: 0.00 
Jun 26 05:06:37 nto CI: INFO	iumanager	iumanager: WAKEUP_XT_TQM1 input change from TRUE to FALSE
Jun 26 05:06:37 nto CI: INFO	iumanager	iumanager: WAKEUP_XT_TQM2 input change from TRUE to FALSE
